week_year,week_qty,prev_week,wow_quantity,month,invoice_year,quar,quar_fct
2019-04-14T07:00:00Z,259,311,-0.16720257234726688,Apr,2019,2,Q2
2019-04-21T07:00:00Z,238,259,-0.08108108108108109,Apr,2019,2,Q2
2019-04-28T07:00:00Z,224,238,-0.058823529411764705,Apr,2019,2,Q2
2019-05-05T07:00:00Z,287,224,0.28125,May,2019,2,Q2
2019-05-12T07:00:00Z,347,287,0.20905923344947736,May,2019,2,Q2
2019-05-19T07:00:00Z,330,347,-0.04899135446685879,May,2019,2,Q2
2019-05-26T07:00:00Z,215,330,-0.3484848484848485,May,2019,2,Q2
2019-06-02T07:00:00Z,332,215,0.5441860465116279,Jun,2019,2,Q2
2019-06-09T07:00:00Z,231,332,-0.3042168674698795,Jun,2019,2,Q2
2019-06-16T07:00:00Z,342,231,0.4805194805194805,Jun,2019,2,Q2
2019-06-23T07:00:00Z,293,342,-0.14327485380116958,Jun,2019,2,Q2
2019-06-30T07:00:00Z,247,293,-0.15699658703071673,Jun,2019,2,Q2
2019-07-07T07:00:00Z,280,247,0.13360323886639677,Jul,2019,3,Q3
2019-07-14T07:00:00Z,253,280,-0.09642857142857143,Jul,2019,3,Q3
2019-07-21T07:00:00Z,323,253,0.2766798418972332,Jul,2019,3,Q3
2019-07-28T07:00:00Z,269,323,-0.16718266253869968,Jul,2019,3,Q3
2019-08-04T07:00:00Z,227,269,-0.15613382899628253,Aug,2019,3,Q3
2019-08-11T07:00:00Z,228,227,0.004405286343612335,Aug,2019,3,Q3
2019-08-18T07:00:00Z,270,228,0.18421052631578946,Aug,2019,3,Q3
2019-08-25T07:00:00Z,216,270,-0.2,Aug,2019,3,Q3
2019-09-01T07:00:00Z,244,216,0.12962962962962962,Sep,2019,3,Q3
2019-09-08T07:00:00Z,231,244,-0.05327868852459016,Sep,2019,3,Q3
2019-09-15T07:00:00Z,249,231,0.07792207792207792,Sep,2019,3,Q3
2019-09-22T07:00:00Z,239,249,-0.040160642570281124,Sep,2019,3,Q3
2019-09-29T07:00:00Z,336,239,0.40585774058577406,Sep,2019,3,Q3
2019-10-06T07:00:00Z,200,336,-0.40476190476190477,Oct,2019,4,Q4
2019-10-13T07:00:00Z,155,200,-0.225,Oct,2019,4,Q4
2019-10-20T07:00:00Z,304,155,0.9612903225806452,Oct,2019,4,Q4
2019-10-27T07:00:00Z,301,304,-0.009868421052631578,Oct,2019,4,Q4
2019-11-03T07:00:00Z,327,301,0.08637873754152824,Nov,2019,4,Q4
2019-11-10T08:00:00Z,262,327,-0.19877675840978593,Nov,2019,4,Q4
2019-11-17T08:00:00Z,225,262,-0.14122137404580154,Nov,2019,4,Q4
2019-11-24T08:00:00Z,356,225,0.5822222222222222,Nov,2019,4,Q4
2019-12-01T08:00:00Z,299,356,-0.1601123595505618,Dec,2019,4,Q4
2019-12-08T08:00:00Z,196,299,-0.34448160535117056,Dec,2019,4,Q4
2019-12-15T08:00:00Z,303,196,0.5459183673469388,Dec,2019,4,Q4
2019-12-22T08:00:00Z,257,303,-0.15181518151815182,Dec,2019,4,Q4
2019-12-29T08:00:00Z,121,257,-0.5291828793774319,Dec,2019,4,Q4
